Fecha,Hora,Velocidad_Bajada,Velocidad_Subida
14-02-2022,15:41:06,37.03,22.61
14-02-2022,15:42:04,32.14,20.6
23-02-2022,16:05:45,37.13,50.24
23-02-2022,16:18:46,38.99,34.74
23-02-2022,16:19:46,35.26,28.35
28-02-2022,11:02:21,24.9,12.32
28-02-2022,11:03:20,32.66,18.08
28-02-2022,11:10:48,30.75,10.58
28-02-2022,11:11:47,28.31,11.3
28-02-2022,11:12:47,22.64,9.53
28-02-2022,11:15:43,26.72,10.99
28-02-2022,11:16:43,25.64,15.28
28-02-2022,11:17:43,30.83,17.52
28-02-2022,11:19:34,27.65,15.37
28-02-2022,11:20:33,27.11,13.94
28-02-2022,11:21:33,23.13,13.71
28-02-2022,12:38:40,33.64,16.94
28-02-2022,12:39:39,35.83,16.5
28-02-2022,12:40:39,30.71,16.76
28-02-2022,12-44-54,21.27,14.33
28-02-2022,12-45-53,23.12,13.61
28-02-2022,12-46-53,32.89,9.68
28-02-2022,12-54-52,32.7,11.48
28-02-2022,12-55-51,20.42,14.51
28-02-2022,12-56-52,26.5,10.72
03-03-2022,16-30-00,35.41,30.12
03-03-2022,16-31-00,38.92,44.66
03-03-2022,16-32-00,37.78,29.7
03-03-2022,16-33-00,29.3,18.65
03-03-2022,16-34-00,38.2,31.22
03-03-2022,16-35-00,37.01,31.7
03-03-2022,16-36-00,38.31,28.93
03-03-2022,16-37-00,39.17,33.16
03-03-2022,16-38-00,39.9,15.94
03-03-2022,16-39-00,38.28,23.1
03-03-2022,16-40-00,37.38,30.5
03-03-2022,16-41-00,36.63,31.12
03-03-2022,16-42-00,37.32,29.29
03-03-2022,16-43-00,36.63,30.27
03-03-2022,16-44-00,35.78,44.41
03-03-2022,16-45-00,37.63,38.88
03-03-2022,16-46-00,40.28,31.51
03-03-2022,16-47-00,24.74,35.32
03-03-2022,16-48-00,24.68,32.47
03-03-2022,16-49-00,23.15,26.34
03-03-2022,16-50-00,26.77,30.52
03-03-2022,16-51-00,39.09,34.15
03-03-2022,16-52-00,37.95,38.92
03-03-2022,16-53-00,40.26,33.04
03-03-2022,16-54-00,32.73,32.69
03-03-2022,16-55-00,36.08,34.1
03-03-2022,16-56-00,31.92,29.83
03-03-2022,16-57-00,31.17,26.66
03-03-2022,16-58-00,23.69,42.56
03-03-2022,16-59-00,35.2,19.33
03-03-2022,17-00-00,39.3,27.56
03-03-2022,17-01-00,38.46,18.66
03-03-2022,17-02-00,29.08,30.94
03-03-2022,17-03-00,37.66,29.26
03-03-2022,17-04-00,38.01,23.29
03-03-2022,17-04-59,35.82,31.61
03-03-2022,17-06-00,38.51,33.46
03-03-2022,17-07-00,35.54,39.5
03-03-2022,17-08-00,35.64,32.09
03-03-2022,17-09-00,33.04,16.56
03-03-2022,17-10-00,28.34,27.05
03-03-2022,17-11-00,30.68,21.85
03-03-2022,17-12-00,35.1,21.69
03-03-2022,17-13-00,32.63,28.4
03-03-2022,17-14-00,34.02,30.62
03-03-2022,17-15-00,31.26,25.18
03-03-2022,17-16-00,34.17,30.72
03-03-2022,17-17-00,35.01,37.37
03-03-2022,17-18-00,36.58,28.76
03-03-2022,17-19-00,37.71,43.61
03-03-2022,17-20-00,34.69,52.47
03-03-2022,17-21-00,34.86,25.2
03-03-2022,17-22-00,35.58,31.17
03-03-2022,17-23-00,36.64,39.06
03-03-2022,17-24-00,34.31,31.24
03-03-2022,17-25-00,32.26,30.32
03-03-2022,17-26-02,27.36,35.52
03-03-2022,17-27-00,26.79,35.65
03-03-2022,17-28-00,29.06,48.94
03-03-2022,17-29-00,26.73,24.47
03-03-2022,17-30-00,30.29,31.75
03-03-2022,17-31-00,32.65,18.93
04-03-2022,17-54-39,36.19,14.59
04-03-2022,17-55-38,34.26,12.32
04-03-2022,18-02-18,39.21,6.05
04-03-2022,18-02-40,38.23,11.04
04-03-2022,18-03-03,18.48,12.81
04-03-2022,18-03-25,33.74,13.82
04-03-2022,18-09-15,41.22,19.02
04-03-2022,18-10-15,22.95,18.36
04-03-2022,18-27-49,42.4,15.53
04-03-2022,18-29-09,26.15,18.51
04-03-2022,18-31-42,40.94,16.56
04-03-2022,18-33-03,41.31,18.24
