Nombre_de_conexion,Servidor,Duracion_(s),Ping_minimo,Ping_maximo,Ping_Promedio,Jitter,Paquetes_enviados,Paquetes_perdidos
Starlink_Larosa,www.google.com,30,25,51,36.9,5.69,30,0
Starlink_Larosa,www.google.com,10,28,38,33.2,2.33,10,0
Starlink_Larosa,www.emol.cl,15,33,70,48.73,5.79,15,0
Starlink_Larosa,www.google.com,600,0,65,34.67,3.74,600,1
Starlink_Larosa,www.google.com,15,32,53,39.33,8.21,15,0
Starlink_Larosa,www.google.com,50,0,55,35.12,7.81,50,7
Starlink_Larosa,www.google.com,15,28,46,35.4,4.29,15,0
Starlink_Larosa,www.google.com,5,29,38,33.4,6.25,5,0
Starlink_Larosa,www.google.com,50,35,46,41.0,5.4,50,0
Starlink_Larosa,www.google.com,10,31,40,33.7,2.56,10,0
Starlink_Larosa,www.google.com,10,42,61,48.1,6.11,10,0
Starlink_Larosa,www.google.com,10,29,37,33.2,2.67,10,0
Starlink_Larosa,www.google.com,30,31,57,36.63,5.0,30,0
Starlink_Larosa,www.google.com,100,30,37,34.6,3.75,100,0
Starlink_Larosa,www.google.com,100,26,55,36.86,4.25,100,0
Starlink_Larosa,www.google.com,1080,0,99,31.44,3.75,1080,4
Starlink_Larosa,www.google.com,3600,0,96,33.33,4.24,3600,13
Starlink_Larosa,www.google.com,1800,0,96,35.21,4.02,1800,7
Starlink_Larosa,www.google.com,3600,0,99,36.34,6.27,3600,12
Starlink_Larosa,www.google.com,20,32,39,35.3,1.37,20,0
Starlink_Larosa,www.google.com,15,26,38,31.73,2.29,15,0
Starlink_Larosa,www.google.com,9223372036854775807,25,39,32.76,1.71,9223372036854775807,0
Starlink_Larosa,www.google.com,60,27,48,35.42,4.75,60,0
Starlink_Larosa,www.google.com,60,25,51,36.51,5.33,60,0
Starlink_Larosa,www.google.com,60,0,53,38.7,6.78,60,1
Starlink_Larosa,www.google.com,60,9,46,36.47,8.71,60,0
Starlink_Larosa,www.google.com,60,5,96,40.82,10.27,60,0
Starlink_Larosa,www.google.com,60,0,73,42.43,12.24,60,1
Starlink_Larosa,www.google.com,10,32,52,37.3,7.44,10,0
Starlink_Larosa,www.emol.cl,10,28,36,32.5,2.33,10,0
Starlink_Larosa,www.google.com,2,25,36,30.5,0,2,0
Starlink_Larosa,www.google.com,2,26,27,26.5,0,2,0
Starlink_Larosa,www.google.com,120,0,99,44.07,15.71,120,1
Starlink_Larosa,www.google.com,15,35,80,48.13,11.79,15,0
Starlink_Larosa,www.google.com,15,22,73,43.13,14.93,15,0
